,swear_word,language,script
918,b o o o o o o o b s,english,latin
919,b o o o o o o o b s<,english,latin
920,b r % a s t s,english,latin
921,brea$ts,english,latin
922,b r e a s * s%,english,latin
923,b r e a s t s,english,latin
924,"bu,eta)",english,latin
925,buccet@|,english,latin
926,b_ceta,english,latin
927,"bu,eta",english,latin
928,"bu,e*a",english,latin
929,b u g g e r,english,latin
930,bugg%r,english,latin
931,bugger},english,latin
932,bbum{,english,latin
933,bbum,english,latin
934,b _ m,english,latin
935,b u m,english,latin
936,bund@,hindi,latin
937,bund:,hindi,latin
938,bund$,hindi,latin
939,b _ n d,hindi,latin
940,b u n d*,hindi,latin
941,b u n n y   f u c k e r],english,latin
942,b u n n y   ^ u c k % r?,english,latin
943,bunny fuck%r&,english,latin
944,b u n n y   f u c k e r,english,latin
945,b u r<,hindi,latin
946,b_r,hindi,latin
947,b u t t,english,latin
948,b u t t%,english,latin
949,b u t t-,english,latin
950,butthole.,english,latin
951,b_*thole[,english,latin
952,bu*thole#,english,latin
953,bb u * t h o l e,english,latin
954,"b u t t m u , h",english,latin
955,b _ t t m u c h,english,latin
956,"buttmu,h,",english,latin
957,b_ttpl__g^,english,latin
958,b u t t p l u g-,english,latin
959,b u t t p l u g,english,latin
960,b_ttplug,english,latin
961,b u u b l e,hindi,latin
962,buuble-,hindi,latin
963,buuubl%,hindi,latin
964,c 0 c k,english,latin
965,cc 0 c k,english,latin
966,", 0 cc k",english,latin
967,c0ck&,english,latin
968,",0cksucker",english,latin
969,c 0 c k s u c k e r,english,latin
970,c 0 c k s u c k e r>,english,latin
971,c0ck$ucker,english,latin
972,c0ck$ucker},english,latin
973,", a r p e t   m u n c h e r?",english,latin
974,carpe* muncher,english,latin
975,carp%* muncher,english,latin
976,c a r p % t   m u n c h e r+,english,latin
977,c a r p e t   m u n c h e r.,english,latin
978,c@wk,english,latin
979,c @ w ;,english,latin
980,",awk[",english,latin
981,cc#akka.,hindi,latin
982,c h a ; k a,hindi,latin
983,c h a ;; k a-,hindi,latin
984,c#akka,hindi,latin
985,chakka=,hindi,latin
986,c h a k k a,hindi,latin
987,c h i n a a l,hindi,latin
988,c h ! n a a l*,hindi,latin
989,c h ! n a a l{,hindi,latin
990,c # i n a a l,hindi,latin
991,chin@al,hindi,latin
992,c#in@al,hindi,latin
993,c#inaal{,hindi,latin
994,chinaall:,hindi,latin
995,c h i n @ a l,hindi,latin
996,c # i n k,english,latin
997,c#iink,english,latin
998,chin;,english,latin
999,c h i n k@,english,latin
1000,c h i n ;,english,latin
1001,chod@i?,hindi,latin
1002,c h ( d a i,hindi,latin
1003,",hodai",hindi,latin
1004,ch(dai,hindi,latin
1005,ch(da!,hindi,latin
1006,c#oodela,hindi,latin
1007,c h ( d e l a,hindi,latin
1008,chodela|,hindi,latin
1009,chodeela,hindi,latin
1010,ch(di,hindi,latin
1011,", h o d i",hindi,latin
1012,ch(dna,hindi,latin
1013,c#(dna,hindi,latin
1014,ch((dna<,hindi,latin
1015,c h o d n e,hindi,latin
1016,",hodn%",hindi,latin
1017,c # o d o,hindi,latin
1018,chhodo,hindi,latin
1019,cchodu,hindi,latin
1020,chhodu-,hindi,latin
1021,",hodu%",hindi,latin
1022,c h o d u),hindi,latin
1023,ch(d_,hindi,latin
1024,c h ( d u(,hindi,latin
1025,", h o d u",hindi,latin
1026,", h o dd u",hindi,latin
1027,c#oodva!,hindi,latin
1028,c h o d v a!,hindi,latin
1029,ch(dv@,hindi,latin
1030,c h o d v a,hindi,latin
1031,c#ucchi,hindi,latin
1032,c#uchi,hindi,latin
1033,c h _ c h i,hindi,latin
1034,c h u c h i:,hindi,latin
1035,c h u c h i,hindi,latin
1036,c#uchiyan=,hindi,latin
1037,", h u c h i y a n",hindi,latin
1038,c h u c h i y a  n.,hindi,latin
1039,",#uchiyan",hindi,latin
1040,c h u c h ! y a n,hindi,latin
1041,c # u d?,hindi,latin
1042,", h _ d",hindi,latin
1043,c h uu d,hindi,latin
1044,",h_d",hindi,latin
1045,c h u d a,hindi,latin
1046,ch_dda,hindi,latin
1047,chuuda,hindi,latin
1048,",,huda",hindi,latin
1049,c#uudai<,hindi,latin
1050,chud@!,hindi,latin
1051,",hudai",hindi,latin
1052,c h _ d a i,hindi,latin
1053,c h u d @ i),hindi,latin
1054,chudi?,hindi,latin
1055,chud!,hindi,latin
1056,c h _ d i],hindi,latin
1057,c h u d  i$,hindi,latin
1058,c # u  d i;,hindi,latin
1059,c#_dn@,hindi,latin
1060,c h u d n a,hindi,latin
1061,c##udna,hindi,latin
1062,c h u d n e,hindi,latin
1063,c#udne,hindi,latin
1064,chudnne,hindi,latin
1065,c h _ d n e,hindi,latin
1066,chhudo,hindi,latin
1067,c h _ d o,hindi,latin
1068,c # _ d o,hindi,latin
1069,"chudo,",hindi,latin
1070,", h _ d v a-",hindi,latin
1071,c # u d v a,hindi,latin
1072,c#udva@,hindi,latin
1073,chudv@na!,hindi,latin
1074,",hudvana",hindi,latin
1075,chudv@na,hindi,latin
1076,c h _ d v a n a,hindi,latin
1077,c h u t,hindi,latin
1078,chutt?,hindi,latin
1079,", # u t.",hindi,latin
1080,cch_*,hindi,latin
1081,chut-,hindi,latin
1082,ch_t,hindi,latin
1083,chuut,hindi,latin
1084,chut^,hindi,latin
1085,c h _ *   m a r i k e,hindi,latin
1086,c # u t   m a r i ; e,hindi,latin
1087,c h u *   m a r ! k e=,hindi,latin
1088,chut m@rike,hindi,latin
1089,chu* m@rike,hindi,latin
1090,",#_tiya",hindi,latin
1091,chu*iy@@,hindi,latin
1092,c h u t i yy a,hindi,latin
1093,chut!ya,hindi,latin
1094,",,#utiya=",hindi,latin
1095,c h u t i y a|,hindi,latin
1096,",hutiy@=",hindi,latin
1097,c h u t ! y a,hindi,latin
1098,c h u * i y  a,hindi,latin
1099,chuutiya=,hindi,latin
1100,",hutiy@",hindi,latin
1101,c h u * i y a,hindi,latin
1102,chutiy@+,hindi,latin
1103,cchu*iya,hindi,latin
1104,", h _ tt i y a p a",hindi,latin
1105,chu**iyapa,hindi,latin
1106,chutiyapa+,hindi,latin
1107,c#u*iyapa,hindi,latin
1108,chutiy@pa,hindi,latin
1109,ch_tmar,hindi,latin
1110,c h _ t m a r,hindi,latin
1111,c # u t m a r,hindi,latin
1112,c h u * m a r:,hindi,latin
1113,", h u t m a r",hindi,latin
1114,c h u u c h e,hindi,latin
1115,chuuch%,hindi,latin
1116,cipp@,english,latin
1117,cip@,english,latin
1118,", i p a*",english,latin
1119,",ipaa[",english,latin
1120,cippa|,english,latin
1121,cl1t_,english,latin
1122,c l 1 t,english,latin
1123,c l 1 t!,english,latin
1124,cl1*,english,latin
1125,c l 1 *?,english,latin
1126,clit$,english,latin
1127,c l  i t,english,latin
1128,clit(ris,english,latin
1129,",litoris{",english,latin
1130,clitori$,english,latin
1131,c l ! t s,english,latin
1132,",lits",english,latin
1133,c l i tt $,english,latin
1134,c l i t s,english,latin
1135,c n u **,english,latin
1136,c n _ t,english,latin
1137,", n __ t@",english,latin
1138,c n u t,english,latin
1139,",nut",english,latin
1140,c o c k,english,latin
1141,c o c k-,english,latin
1142,",ock",english,latin
1143,c(ck,english,latin
1144,c o c k - s u c k e r,english,latin
1145,c o c k -- s u c k e r,english,latin
1146,c o c ; - s u c k e r,english,latin
1147,coc;-sucker,english,latin
1148,cock^ac%,english,latin
1149,c((ckface,english,latin
1150,ccock^@ce,english,latin
1151,coc;^ace,english,latin
1152,cock^ace,english,latin
1153,c o c ; h % a d,english,latin
1154,cockhhead+,english,latin
1155,cockhe@@d(,english,latin
1156,cockhead%,english,latin
1157,c ( c  k h e a d,english,latin
1158,",ockmunc#",english,latin
1159,cockmunc#,english,latin
1160,c o c ; m u n c h,english,latin
1161,", o c k m u n c h",english,latin
1162,c o c k m u n c h],english,latin
1163,",oc;munch%r",english,latin
1164,c ( c k m u n c h e r,english,latin
1165,c o c ; m u n c h e r,english,latin
1166,c ( c k s,english,latin
1167,coock$^,english,latin
1168,c o c ; s,english,latin
1169,c o c k s_,english,latin
1170,cock$$,english,latin
1171,c ( c k ss u c k,english,latin
1172,"c o c ; s u c  k,",english,latin
1173,cock$_ck&,english,latin
1174,",ock$uck",english,latin
1175,cock$ucked,english,latin
1176,c o c k s _ c k e d,english,latin
1177,c o c k s u c k % d,english,latin
1178,c o c  k s u c k e d],english,latin
1179,c o c k $ u c k e r,english,latin
1180,ccock$ucker>,english,latin
1181,c o c k s u c k e r_,english,latin
1182,c o c k s u c k e r,english,latin
1183,cock$ucker?,english,latin
1184,cocks_cking?,english,latin
1185,",ocksucking",english,latin
1186,", o c k s u c k i n g|",english,latin
1187,c o c ; s u c k s,english,latin
1188,c o c k $ _ c k s@,english,latin
1189,c o c k s u c k s,english,latin
1190,",ockssucks",english,latin
1191,c o c k $ u k @^,english,latin
1192,ccoc;suka,english,latin
1193,c o c k s u k a<,english,latin
1194,c(cksuk@,english,latin
1195,c ( c ; s _ k k a,english,latin
1196,ccocksukka,english,latin
1197,c o c ; s u k k a,english,latin
1198,c(cksukka,english,latin
1199,c o c k s u k k a,english,latin
1200,ccok,english,latin
1201,c(k,english,latin
1202,c oo ;_,english,latin
1203,c o ; m u n c h % r;,english,latin
1204,co;muncher,english,latin
1205,co;m_ncher?,english,latin
1206,c o k m u n c h e r,english,latin
1207,c o ; m u n c h e r,english,latin
1208,c(ksuck@_,english,latin
1209,",ok$ucka",english,latin
1210,c o k s u c k a,english,latin
1211,coksucck@,english,latin
1212,coksucka=,english,latin
1213,cc(on,english,latin
1214,c(on,english,latin
1215,c o o n,english,latin
1216,coon!,english,latin
1217,c o x^,english,latin
1218,c o x,english,latin
1219,coox,english,latin
1220,c r a p,english,latin
1221,",,rap",english,latin
1222,c u m],english,latin
1223,cc_m.,english,latin
1224,c u m},english,latin
1225,c u m,english,latin
1226,c u m m e r],english,latin
1227,cumm%r,english,latin
1228,cummeer,english,latin
1229,c u m m % r,english,latin
1230,",umming",english,latin
1231,cummiing,english,latin
1232,c u m m i n g,english,latin
1233,cumm!!ng,english,latin
1234,cum$,english,latin
1235,c u m s,english,latin
1236,",um$",english,latin
1237,c u m s h ( t&,english,latin
1238,", u m s h o t#",english,latin
1239,c u m s h o t,english,latin
1240,cumsh(t,english,latin
1241,cumsh((t,english,latin
1242,",un!linguus",english,latin
1243,",unilingus",english,latin
1244,c u n i l l i n g u s,english,latin
1245,cun!llingus,english,latin
1246,",unn!lingus",english,latin
1247,c u n n i l i n g u s],english,latin
1248,c u n n i l i n g u s,english,latin
1249,ccunnilingus,english,latin
1250,c_nt+,english,latin
1251,c u n t!,english,latin
1252,cunt;,english,latin
1253,cuunt,english,latin
1254,cuntlick),english,latin
1255,c _ n t l i c k^,english,latin
1256,c u n t l i c k,english,latin
1257,",_ntli,k",english,latin
1258,c u nn t l i c k e r,english,latin
1259,c u n * l i c k e r@,english,latin
1260,", u n t l i c k e r",english,latin
1261,c u n t l i c k % r,english,latin
1262,cuntlicking$,english,latin
1263,c u n t l i c ; i n g,english,latin
1264,c u n t l ! c kk i n g[,english,latin
1265,c u n t l i c k i n g,english,latin
1266,c_ntlicking$,english,latin
1267,cun*s,english,latin
1268,"c u n * s,",english,latin
1269,",,unts",english,latin
1270,cunts},english,latin
1271,",yalis",english,latin
1272,cyalis?,english,latin
1273,c y a l i $=,english,latin
1274,c y a l i s,english,latin
1275,", y a l i s",english,latin
1276,c y b e r f u c[,english,latin
1277,c y b e r f _ c,english,latin
1278,", y b % r f u c",english,latin
1279,c y b e r f u c,english,latin
1280,cyberf_ck,english,latin
1281,", y b e r f u c k",english,latin
1282,cyb%rf_ck-,english,latin
1283,cyb%rrfuck,english,latin
1284,cyb%r^uc;ed!,english,latin
1285,c y b e r f _ c k e d,english,latin
1286,cyb%rfucked,english,latin
1287,cyb%rr^ucked*,english,latin
1288,", y b e r f u , k e r",english,latin
1289,c y b % r f u c k e r,english,latin
1290,c y b e r f _ c ; e r=,english,latin
1291,c y b e r f u c k e r,english,latin
1292,cyberfuc;er$,english,latin
1293,c y b e  r f u c k e r s,english,latin
1294,cyberf_ckers!,english,latin
1295,cyberfucker$,english,latin
1296,cyberfuc;ing,english,latin
1297,c y b e r f u c k i n g,english,latin
1298,"cyberfuck!ng,",english,latin
1299,",yberfuck!ng",english,latin
1300,cybber^uc;ing,english,latin
1301,d 11 c k{,english,latin
1302,d1cc;,english,latin
1303,d 1 c k,english,latin
1304,d1c;,english,latin
1305,d a m n,english,latin
1306,damn?,english,latin
1307,damn),english,latin
1308,d a m n.,english,latin
1309,d!ck,english,latin
1310,dick@,english,latin
1311,diick,english,latin
1312,dic;,english,latin
1313,dickheead?,english,latin
1314,diickhead,english,latin
1315,d ! c  k h e a d,english,latin
1316,dickh%ad+,english,latin
1317,dild(,english,latin
1318,dildo?,english,latin
1319,dildoos,english,latin
1320,d!ld(s,english,latin
1321,dild(s,english,latin
1322,d  i l d o s,english,latin
1323,d i n k,english,latin
1324,d i n ;,english,latin
1325,d  i n k,english,latin
1326,"d i n k,",english,latin
1327,dinks?,english,latin
1328,d i n  k $,english,latin
1329,din;$,english,latin
1330,d i r $  a,english,latin
1331,d i r $ a,english,latin
1332,dirs@=,english,latin
1333,dirrsa&,english,latin
1334,dirsa.,english,latin
1335,d l c k,english,latin
1336,ddlck,english,latin
1337,dlc;,english,latin
1338,dog-fuc;er,english,latin
1339,d o g - f u c k % r<,english,latin
1340,d o g - f u c k e r_,english,latin
1341,"dog-fu,;er",english,latin
1342,d o g - ^ u c k e r,english,latin
1343,doggin=,english,latin
1344,ddoggin,english,latin
1345,d o g g  ! n,english,latin
1346,doggin?,english,latin
1347,doggin{,english,latin
1348,dogg!ng,english,latin
1349,d o g g i n g,english,latin
1350,doggging,english,latin
1351,d o n k e y r ! b b e r,english,latin
1352,donk%yribber,english,latin
1353,donkeyr!bbber,english,latin
1354,d o n k e y r i b b e r,english,latin
1355,d ( o  s h,english,latin
1356,ddoosh,english,latin
1357,d(osh?,english,latin
1358,d oo o s h,english,latin
1359,d u c h e,english,latin
1360,duc#e,english,latin
1361,d u c hh e,english,latin
1362,dyke=,english,latin
1363,dykke,english,latin
1364,ejaculatte+,english,latin
1365,e j @ c u l a t e,english,latin
1366,e j @ c u l a * e,english,latin
1367,"% j a , uu l a t e",english,latin
1368,ejac_latte,english,latin
1369,%j@culated:,english,latin
1370,% j a c u l a t e d,english,latin
1371,e j a c u l a t e d_,english,latin
1372,e j @ c u l @ t e d!,english,latin
1373,ejacuula*es,english,latin
1374,e j @ c u l a  t e s,english,latin
1375,"e j a , _ l a t e s",english,latin
1376,e j a c _ l a t e s,english,latin
1377,ej@cula*es#,english,latin
1378,e j a c _ l a t i n g,english,latin
1379,e j a c u l a t i n g,english,latin
1380,ejac_lating@,english,latin
1381,"%jacula*ing,",english,latin
1382,e j a c _ l a tt i n g s,english,latin
1383,e j a c u l a t i n g s,english,latin
1384,e j a c u l a * i n g s*,english,latin
1385,%jaculating$,english,latin
1386,ejacula*ings,english,latin
1387,e j a c u l a t i o n,english,latin
1388,eejac_lation,english,latin
1389,%jaculati(n,english,latin
1390,ejac__la*ion{,english,latin
1391,ejacula*ion,english,latin
1392,e j a ; _ l a t e,english,latin
1393,e j a k _ l a t e,english,latin
1394,% j a k _ l a t e#,english,latin
1395,eja;ulate,english,latin
1396,f   u   c    ;,english,latin
1397,f u c k<,english,latin
1398,f u c ;-,english,latin
1399,^  u c k!,english,latin
1400,^ u c k[,english,latin
1401,^    _   c   k   e   r,english,latin
1402,f u c  k e r,english,latin
1403,f   _   c   k   e   r,english,latin
1404,f u c k e r_,english,latin
1405,^4nny,english,latin
1406,f4nny?,english,latin
1407,f _ u _  c _ k,english,latin
1408,"f_u__c_k,",english,latin
1409,f _ _ _ c _ k,english,latin
1410,^_u_c_;*,english,latin
1411,f_u_c_;,english,latin
1412,f@g,english,latin
1413,f a g+,english,latin
1414,f@g<,english,latin
1415,f a g[,english,latin
1416,f a g,english,latin
1417,f a g g i n g,english,latin
1418,fagging[,english,latin
1419,ffagging,english,latin
1420,^ a g g i n g?,english,latin
1421,fagg!ng?,english,latin
1422,fagg!tt_,english,latin
1423,f a g g ! t t-,english,latin
1424,faggittt{,english,latin
1425,^ @ g g i t tt),english,latin
1426,f a g g i t t_,english,latin
1427,fagg(t!,english,latin
1428,faggo*^,english,latin
1429,faggot=,english,latin
1430,^ a g g ( t,english,latin
1431,f @ g g o  t),english,latin
1432,faggo*,hindi,latin
1433,^aggot,hindi,latin
1434,faggot},hindi,latin
1435,f a g g s,english,latin
1436,fagg$),english,latin
1437,fag(t,english,latin
1438,^  a g o t:,english,latin
1439,f a g o t-,english,latin
1440,^ @ g o t,english,latin
1441,f a g ( t,english,latin
1442,f a g ( * s,english,latin
1443,f a g o t $,english,latin
1444,fago*s,english,latin
1445,f a g o * s=,english,latin
1446,f@goots,english,latin
1447,f a g $,english,latin
1448,fags?,english,latin
1449,^ags,english,latin
1450,^^@gs,english,latin
1451,^ @ g s{,english,latin
1452,f aa n n y,english,latin
1453,ffanny,english,latin
1454,fannny,english,latin
1455,^@nnny,english,latin
1456,fannyflaaps,english,latin
1457,fannyflaps&,english,latin
1458,f @ n n y f l a p s!,english,latin
1459,f @ n n y f u c k e r{,english,latin
1460,fannyfuck%r,english,latin
1461,f a n n y f u c ; e r,english,latin
1462,fannyfuck%r[,english,latin
1463,fannyfucker=,english,latin
1464,fannyy|,english,latin
1465,f @ n y y,english,latin
1466,ff @ n y y,english,latin
1467,f a n y y,english,latin
1468,"fanyy,",english,latin
1469,fatass-,english,latin
1470,fatass$,english,latin
1471,fatass(,english,latin
1472,f a * a s s,english,latin
1473,f @ t a s s,english,latin
1474,^c_k,english,latin
1475,^ c u k,english,latin
1476,f c u k,english,latin
1477,fc_k,english,latin
1478,fcu;er,english,latin
1479,f c u k ee r,english,latin
1480,f c u ; e r?,english,latin
1481,f c u k % r{,english,latin
1482,"f,_king",english,latin
1483,f c  u k ! n g,english,latin
1484,fcuking#,english,latin
1485,^ c u k  i n g,english,latin
1486,^cuk!ng*,english,latin
1487,^ec;!,english,latin
1488,fec;,english,latin
1489,"f ee , ;",english,latin
1490,f % c k,english,latin
1491,ff%ck%,english,latin
1492,f % cc k e r,english,latin
1493,^ e c k  e r,english,latin
1494,"f e , k e r.",english,latin
1495,f e c ; e r,english,latin
1496,^ e c  k e r,english,latin
1497,"f e l , h i n g^",english,latin
1498,f%lching,english,latin
1499,"^ e l , # i n g",english,latin
1500,f % l c h ! n g,english,latin
1501,^ella*e,english,latin
1502,f e l l a t e,english,latin
1503,f%llate,english,latin
1504,^ e l l a t e,english,latin
1505,f%llatio,english,latin
1506,f e l l @ t i o|,english,latin
1507,^ellatio#,english,latin
1508,ff e l l a t i o?,english,latin
1509,fellatio],english,latin
1510,^ingerf_ck?,english,latin
1511,"fingeerfuck,",english,latin
1512,^ingerf_ck,english,latin
1513,fingerf_ck#,english,latin
1514,"fingerf_,;",english,latin
1515,fingerfucked{,english,latin
1516,^ingerfucked,english,latin
1517,f i n g e r f _ c ; e d,english,latin
1518,"fingerfu,ked",english,latin
1519,^ i n g e r ^ u c k e r@,english,latin
1520,"f i n g e r f u , k e r^",english,latin
1521,f ! nn g e r f u c k e r,english,latin
1522,fingerf_cker,english,latin
1523,^ingerfucker$,english,latin
1524,f i n g e r f u c ; e r s+,english,latin
1525,f ! n g e r f u c k e r s*,english,latin
1526,f i n g e r f u c k e rr s,english,latin
1527,fing%rfuckers,english,latin
1528,^ingerfucking,english,latin
1529,f i n g e r f _ c ; i n g,english,latin
1530,"^!ngerfu,king",english,latin
1531,f!!ngerfuc;ing,english,latin
1532,f i n g e r f u c k i n g,english,latin
1533,^ ! n g ee r ^ u c k s},english,latin
1534,f i n g e r f u c k s,english,latin
1535,fingerfuc;s@,english,latin
1536,"fing%rf_,ks=",english,latin
1537,f!ng%rfucks,english,latin
1538,^istfuck,english,latin
1539,^ i  s t f _ c k,english,latin
1540,fi$tfuck,english,latin
1541,f!stfuck,english,latin
1542,fistfuc;%d,english,latin
1543,fis*f_cked-,english,latin
1544,fistf_cked,english,latin
1545,"f ! s t f u , k  % d%",english,latin
1546,fistfuck%d,english,latin
1547,^is*fucker,english,latin
1548,fistf_ck%r,english,latin
1549,f ! s t f u c k e r,english,latin
1550,fi$tfucker,english,latin
1551,^i$tfucker,english,latin
1552,fistfuck%rs,english,latin
1553,fi$tfuckers,english,latin
1554,f i s t f u c k % r s,english,latin
1555,^ i s t f u c k e r s,english,latin
1556,f i s t f u c k e r s>,english,latin
1557,f i s t f u c ; i n g=,english,latin
1558,f i s t f u c ;; i n g(,english,latin
1559,f!stfuc;ing-,english,latin
1560,f i $ t f u c k i n g,english,latin
1561,^ i s t f u  c k i n g?,english,latin
1562,^ i s t f _ c k i n g s,english,latin
1563,fi$tfuc;ings^,english,latin
1564,"^ i s t f _ , k i n g  s",english,latin
1565,f!s*fuckings,english,latin
1566,"^ i s t f _ c k s,",english,latin
1567,fistfuc;s,english,latin
1568,fistf_cks,english,latin
1569,f i $ t f u c ; s,english,latin
1570,^!stfucks,english,latin
1571,f l a n g e,english,latin
1572,^ l a n g e,english,latin
1573,f l @ n g e,english,latin
1574,flange?,english,latin
1575,f o o k,english,latin
1576,foook,english,latin
1577,ff o o k,english,latin
1578,f(ok,english,latin
1579,f(okeer,english,latin
1580,fook%r+,english,latin
1581,f o o k e r&,english,latin
1582,f(oker-,english,latin
1583,"fu,;",english,latin
1584,"^ uu , k>",english,latin
1585,"f u , k",english,latin
1586,^uc;,english,latin
1587,fuc;,english,latin
1588,f u c ; a,english,latin
1589,^ u c k a,english,latin
1590,fucka+,english,latin
1591,fuck@,english,latin
1592,^ u c k e d,english,latin
1593,f u c  k % d,english,latin
1594,"^u,ked@",english,latin
1595,f u c k e  d{,english,latin
1596,^  u c k e d:,english,latin
1597,fucker},english,latin
1598,fuc;er.,english,latin
1599,f_cker,english,latin
1600,f u c k e r<,english,latin
1601,"f u , k e r s]",english,latin
1602,fuc;er$,english,latin
1603,"fu,k%rs",english,latin
1604,f u c k e r s:,english,latin
1605,f _ c k e r $,english,latin
1606,"f_,khead",english,latin
1607,f u c k h % a d,english,latin
1608,^uckhead),english,latin
1609,f u  c k # e a d,english,latin
1610,fuc;head,english,latin
1611,fuckkheads,english,latin
1612,f _ c k # e a d s,english,latin
1613,f u c k h e a d $,english,latin
1614,^^uckh%ads,english,latin
1615,"fu,;heads;",english,latin
1616,fuc;in+,english,latin
1617,"fu,kin",english,latin
1618,^ u  c k ! n,english,latin
1619,"f u , ; i nn:",english,latin
1620,fuck!ng,english,latin
1621,f _ c k i n g,english,latin
1622,f u c kk i n g),english,latin
1623,f  u c k i n g,english,latin
1624,"fu,king",english,latin
1625,f u c k i n g $,english,latin
1626,"fu,kings",english,latin
1627,"fu,k!ngs",english,latin
1628,^ucking$,english,latin
1629,f u  c k i n g s,english,latin
1630,^ u c k ! n g s h i * m o t h e r f u c k e r@,english,latin
1631,^ _ c k i n g s h i t m o t h e r f u c k e r,english,latin
1632,fuck!ngshitmotherfucker,english,latin
1633,fuc;ingshitmotherfucker(,english,latin
1634,"fu,king$hitmotherfucker",english,latin
1635,fuc;mee<,english,latin
1636,"fu,kme",english,latin
1637,^ u c k m e,english,latin
1638,f_ckme,english,latin
1639,fucks@,english,latin
1640,"fu,;s}",english,latin
1641,^ u cc k s,english,latin
1642,"fu,kks",english,latin
1643,fuckwwhit,english,latin
1644,^ u c ; w h i t,english,latin
1645,f_ckwhiit,english,latin
1646,f_ckwhit,english,latin
1647,f u c ; w h ! t:,english,latin
1648,fuckw!t,english,latin
1649,fuc;wit+,english,latin
1650,fuckwi*.,english,latin
1651,fuckwi*!,english,latin
1652,fuckwi*,english,latin
1653,f u d g e   p @ c k e r,english,latin
1654,fudge p@cker,english,latin
1655,^udgee p@cker,english,latin
1656,f u d g e   p @ cc k e r,english,latin
1657,^udgge packer,english,latin
1658,f u d g e p a c k e r,english,latin
1659,^udgepacker,english,latin
1660,fudg%packer(,english,latin
1661,fudgep@cker>,english,latin
1662,f_dgepac;er?,english,latin
1663,f u k,english,latin
1664,fuuk#,english,latin
1665,f u ;,english,latin
1666,fu;er,english,latin
1667,f  u k e r,english,latin
1668,f _ k e r,english,latin
1669,f u k e r,english,latin
1670,f u k k % r#,english,latin
1671,f u k k e r*,english,latin
1672,f _ k k e r-,english,latin
1673,f u ; ; e r<,english,latin
1674,f u k k i n,english,latin
1675,f u k k i  n,english,latin
1676,f u k  k i n,english,latin
1677,f u kk k i n@,english,latin
1678,^ u kk s,english,latin
1679,fuks&,english,latin
1680,^uks,english,latin
1681,f u k w h i *#,english,latin
1682,fukkw#it,english,latin
1683,f u ; w h i t,english,latin
1684,f u ; w h i t$,english,latin
1685,f u k w h i *,english,latin
1686,f u ; w i t?,english,latin
1687,f u ; w i t,english,latin
1688,f u k w i t,english,latin
1689,f _ k w i t,english,latin
1690,f u k w ! t=,english,latin
1691,^ux,english,latin
1692,^ux{,english,latin
1693,ff_x,english,latin
1694,f _ x,english,latin
1695,f uu x 0 r,english,latin
1696,f u x 00 r,english,latin
1697,^ux0r,english,latin
1698,fux0r|,english,latin
1699,^ux0r(,english,latin
1700,g a a n d   m a $ t i,hindi,latin
1701,gaandd masti,hindi,latin
1702,g@and masti,hindi,latin
1703,gaand mast!,hindi,latin
1704,g a a n d m a s t i,hindi,latin
1705,gaandmmast!,hindi,latin
1706,g @ a n d m a s * i,hindi,latin
1707,g @ a n d m a s t i?,hindi,latin
1708,g aa a n d m a s t i!,hindi,latin
1709,g a a n d u,hindi,latin
1710,gaandu+,hindi,latin
1711,g a a n d u;,hindi,latin
1712,gaaandu,hindi,latin
1713,gad#e ki aulad,hindi,latin
1714,gadhe ;i aulad&,hindi,latin
1715,gadhee ki aulad,hindi,latin
1716,gadhe k! aulad,hindi,latin
1717,g a d h e   k i   a _ l a d,hindi,latin
1718,g a d # e   ; i   z a t,hindi,latin
1719,g@dhe k! zat,hindi,latin
